වචනය,"සමාන පදමාලාව"
"අග්නි මණ්ඩලය ","1. (ජ්‍යෝති.) [නා.] ගින්න සහිත ව භූමිකම්පා සිදු වන නැකැත් ඇතුළත් සීමා ප්‍රදේශය; පුස, කැති, විසා, බෙරණ, මා පුව පුටුව, පුවපල් යන නැකැත් අයත් මණ්ඩලය. <br>2. [නා.] පූජාව සඳහා මණ්ඩලාකාර ව තැනෙන ගින්න; ගිනි මඬල."
"අග්නිමන්ත්‍රය ","[නා.] ගිනිදෙව් පූජාවේ දී ගයන මන්ත්‍රය."
"අග්නිමන්දය, අග්නිමාන්ද්‍යය ","[නා.] බඩගිනි අඩුකම; කෑම නොදිරවීමෙන් ඇති වන ආබාධය; මන්දාග්නිය."
"අග්නිමය ","[වි.]  ගින්නෙන් සෑදුණු."
"අග්නි මානය ","(පාරිභා.) [නා.] දැඩි උෂ්ණත්වය මනින උපකරණය; ඉහළ උෂ්ණත්ව මාපකය (=pyrometer)."
"අග්නිමිතික ","[වි.]  ගිනි රස්න මාපකය පිළිබඳ වූ; අග්නි මානය සම්බන්ධ."
"අග්නි මුද්‍රාව ","[නා.] භාරතීය නාට්‍යවල දක්නට ලැබෙන මුද්‍රාවක්."
"අග්නි මූලය ",මූලග්ගින්න.
"අග්නිය ","1. [නා.] ගින්න; ගින්දර. <br>2. [නා.] ආහාර දිරවීමෙන් පසු කුසෙහි ඇතිවන ගින්න; බඩගින්න. <br>3. [නා.] ගිනිදෙචියා."
"අග්නි යෝගය ","(ජ්‍යෝති.) [නා.] ගිනි බියට කාරණ වන අශුභ නැකැත් යෝගයක්."
"අග්නි රක්ෂණය ","1. [නා.] ගිනි දෙවියන් පිදීම සඳහා ගෙයි ගිනි නිවෙන්නට නො දී රැකීම. <br>2. [නා.] ගින්නෙන් වන හානි පිළිබඳ ව කරන රක්ෂණය; ගිනි රක්ෂණය."
"අග්නි වර්ණය ","[නා.] ගිනි පැහැ; ගින්දර පාට."
"අග්නි වර්ධකය ","[නා.] බඩගිනි වඩන දෙය."
"අග්නිවාර ","[නා.ප්‍ර.] ගින්නෙන් රත් කිරීම; ගිනියම් කිරීම."
"අග්නි විද්‍යුතය ","(පාරිභා.) [නා.] ස්ඵටිකයක උෂ්ණත්වය සුදුසු පරිදි වෙනස් කිරීමෙන් එහි විවිධ කොටස්වල එකවර උපදින ධන හා සෘණ විදුලි ආරෝපණය (= pyro-electricity)."
"අග්නි ශාලාව ","1. [නා.] ගිනි පුදන ශාලාව; ගිනිහල. <br>2. [නා.] ගිනි තපින ගෙය; ගිනිහල් ගෙය."
"අග්නි සංගය, අග්නිසඞ්ගය ","[නා.] කුසගිනි අඩුකම; අග්නිමන්දය."
අග්නිසාහි,"[වි.]  ගිනි නොගන්නා; ගින්නට ඔරොත්තු දෙන."
"අග්නි ස්කන්ධය","[නා.] කඳක් මෙන් නැගී සිටින ගින්න; ගිනිගොඩ."
"අග්නි ස්තම්භනය, අග්නි ස්තම්භය","1. [නා.] ගින්දරෙහි දැවෙන ස්වභාව මැඬ පැවැත්වීම.
<br>2. [නා.] සූසැට කලාවලින් එකක් වන ගිනි-සිසිල් කිරීම."
"අග්නි ස්ථානය","(ජ්‍යෝති.) [නා.] ගින්නට හිමි වූ රාශිය; කුජ ග්‍රහයා අධිපති රාශිය."
"අග්නි ස්ඵූරණ","(පාරිභා.) [වි.] වාතය හා ගැටුණු විට වහා ගිනි ගන්නා සුලු (= pyrophoric)."
"අග්නි හේළිමානය","(පාරිභා.) [නා.] පෘථිවියට ලැබෙන සෘජු සූර්ය විකිරණයේ තීව්‍රතාව මනින උපකරණය (=pyrheliometer)."
"අග්නි හෝත්‍රය","[නා.] ගින්නට කිරි ගිතෙල් වෙඬරු දමා ගිනි දෙවියා පිදීමේ හින්දු චාරිත්‍රය; ගිනි පූජාව."
අග්නීෂ්ටකාව,"[නා.] ගිනි ගඩොළ."
"අග්න්‍යගාරය, අග්න්‍යාගාරය","1. [නා.] ගිනි තපින ගෙය; ගිනිහල් ගෙය.
<br>2. [නා.] ගිනි දෙවියා පුදන ශාලාව."
අග්න්‍යාශය,"[නා.] ආහාර දිරවන, ආග්නේය රසය උපදවන ඉන්ද්‍රිය; ඇලදිව."
"අග්න්‍යාශයික ප්‍රණාලය","[නා.] අග්න්‍යාශයෙහි පවත්නා ස්‍රාවය ගෙන යන කුඩා නාලය."
අග්න්‍යුන්මාදය,"[නා.] ගේදොර දේපළ ආදියට ගිනි තැබීමේ පිස්සුව; ගිනි උමතුව."
"අග් බත","[නා.] කුඹුරක අස්වැන්න ලැබීමෙන් පසු කමත් පරිභෝග කිරීමට පෙර මහණ බමුණන්ට දෙන දානය; අගහස් දන."
"අග් බඹර, අග් බඹුරු","[වි.]  අගින් වකුටු වූ; අක් බඹරු."
"අග් මල","[නා.] තල්, කිතුල්, පොල් ආදි ගස්වල මුදුන් මල."
"අග් මෙහෙසුන්","[නා.ප්‍ර.] අග මෙහෙසිය; අග බිසව; අභිෂේක ලත් ප්‍රධාන බිසව.
"
අග්‍ර,"1. [වි.] උතුම්; උසස්; ශ්‍රේෂ්ඨ.
<br>2. [වි.] නායක; ප්‍රධාන.
<br>3. [වි.] මුලින් උපන්; වැඩිමල්; දෙටු.
<br>4. [වි.] කෙළවර පිහිටි."
අග්‍රකය,"1. (පාරිභා.) [නා.] වෘක්ෂලතාදියක යම් නාරටියක් දික්වීමෙන් සෑදෙන කෙටි තියුණු තුඩ(=apiculus).
<br>2. (පාරිභා.) [නා.] ඇතැම් ප්‍රොටො- සොවාවන්ගේ තිබෙන අග්‍රස්ථ තුඩ (= apiculus)."
"අග්‍ර කාය","[නා.ප්‍ර.] සිරුරෙහි ඉහළ කොටස; උඩුකය; ඌර්ධ්වකාය."
අග්‍රකාය,"[නා.ප්‍ර.] මනා ව වැඩුණු ශරීරය; හොඳින් වර්ධනය වූ දේහය."
"අග්‍ර කුලය","[නා.] උතුම් කුලය; උසස් වංශය."
"අග්‍ර කේතුකය","(පාරිභා.) [නා.] පෘෂ්ඨ වංශීන්ගේ සුෂුම්නාවේ කේතුකාකාර කෙළවර (=conus terminalis)."
"අග්‍ර කෝටිය","1. [නා.] අග කෙළවර; අන්තිම කොන.
<br>2. [නා.] ඉළ ඇටවල තරුණාස්ථි පපු ඇටය හා සන්ධි වූ තැන."
අග්‍රගණ්‍ය,"[වි.]  උතුම් කොට සැලකිය යුතු; ඉතා උසස්; ශ්‍රේෂ්ඨතම."
අග්‍රගණ්‍යයා,"1. [නා.] අග මුලට ම ගණන් ගත යුතු තැනැත්තා; ප්‍රධානයා.
<br>2. (පාරිභා.) ක්ෂීරපායී සත්ත්වයන්ගේ ඉතා දියුණු තැනැත්තා (=primates)."
අග්‍රගාමී,"[වි.]  ඉදිරියෙහි ගමන් කරන; පුරෝගාමී."
අග්‍රජ,"[වි.]  මුලින් උපන්; පළමුව හටගත්; දරුවන් අතුරෙන් වැඩිමහල්."
අග්‍රජයා,"1. [නා.] දරුවන් අතුරෙන් පළමු ව උපන් දරුවා; කුළුඳුල් දරුවා; වැඩිමහල් සහෝදරයා.
<br>2. [නා.] බ්‍රාහ්මණයා."
අග්‍රදක්ෂිණාර්හ,"1. [වි.] දන් ලැබිය යුත්තන් අතර ප්‍රමුඛ; උත්තම දක්ෂිණාව ලැබීමට යෝග්‍ය වූ; අග්‍රදක්ෂිණීය.
<br>2. [වි.] ඉතා පින්වත් වූ."
"අග්‍ර දක්ෂිණාව","[නා.] උතුම් දානය; ඉඳුල් නොකොට ඉතා පිරිසිදු ව සකස් කළ උතුම් දානය."
"අග්‍ර දර්ශනය","[නා.] උත්තම දෘෂ්ටිය; ශ්‍රේෂ්ඨ දර්ශනය."
"අග්‍ර දානය","1. [නා.] බුද්ධත්වයට පැමිණීමෙන් පසු බුදුවරයකු ලබන පළමු දානය.
<br>2. [නා.] අස්වැන්නේ පළමු කොටසින් දෙන ප්‍රථම දානය; නොඉඳුල් දානය."
"අග්‍ර දූතයා","1. [නා.] මුලින් ම දූත මෙහෙවරෙහි යෙදෙන්නා; ශ්‍රේෂ්ඨ දූතයා.
<br>2. [නා.] (ක්‍රිස්ති.) උසස් ගණයට අයත් වන දේව දූතයා."
"අග්‍ර දේවී","[නා.] රජකුගේ අගමෙහෙසිය; අභිෂේක ලද බිසව."
"අග්‍ර පුරෝහිතයා","[නා.] (රජ කෙනෙකුගේ) ප්‍රධාන පුරෝහිතයා; ප්‍රධාන උපදේශකයා; අග පෙරෙවියා."
