"පාලි වචනය","සිංහල පරිවර්තනය"
අධිවාස,"(පු) නිවාසය, සුවඳ කැවීම් ආදි සංස්කරණය, ගිවිසීම, උපද්‍රවය, අනර්ථය, ඉවසීම, විඳීම."
අධිවාසක,"(පු) ඉවසන්නා."
"අධිවාසක ","(3) ඉවසන; ඉවසන්නා."
අධිවාසන,"(න) ඉවසීම, සහනය, ක්ෂමාව."
අධිවාසන,"(න) ඉවසීම; බාරගැනීම."
අධිවාසනතා,"(ඉ) ඉවසනබව, ක්ෂමා කරණබව,"
අධිවාසනා,"(ඉ) ඉවසීම; බාරගැනීම."
අධිවාසෙති,"(අධි+වස+ණේ) ඉවසයි; බාරගනී."
අධිවාසෙති,"(ක්‍රි) (අධි + වස - (d) (චු) සිනෙහාදිසු=ස්නෙහාදියෙහි + ණෙ + ති) ඉවසයි."
අධිවාසෙති,"(ක්‍රි) (අධි+ වස - (d) (චු) උපවාසෙ=සමීපවාසයෙහි+ණෙ+ති) වාසය කරයි."
අධි‍වාසෙත්වා‍,"(පූ.ක්‍රි) ඉවසා."
අධිවාසෙත්වා,"(පූ.ක්‍රි) බාරගෙන."
අධිවාහ,"(පු) ඉසිලීම."
අධිවාහන,"(න) ඉසිලීම."
අධිවාහන,"(න) ඉසිළීම; ගෙනයාම."
"අධිවාහන ","(3) උසුළන; එළවන."
"අධිවුත්ත ","(3) විසූ."
අධිවුත්ති,"(ඉ) කීම, අදහස."
අධිවුත්තිපද,"(න) අධිවචන පද, භුතාර්ථය මැඩ යථාස්වභාය නොගෙන පවත්නා දෘෂ්ටීන් පිළිබඳ පද, දෘෂ්ටි ප්‍රකාශක වචන."
අධිවුත්ථ,"(ති) ප්‍රධානව වාසය කළ, විසූ."
අධිසයන,"(න) වැතිරගෙන හොවීම, සයනා සනයෙහි වැතිර නිදීම."
අධිසීල,"(න) උතුම් සීලය, මහාසීලය, ප්‍රාතිමොක්ෂසංවරශීලය, මාර්‍ග ඵල සම්ප්‍රයුක්ත ශීලය."
අධිසීල,"(න) උසස් ශීලය."
අධිසෙති,"(අධි+සි+ණේ) අනුව පවතී."
අධිසෙති,"(ක්‍රි) (අධි+සි - (d) (භු) සයෙ=සයනය කිරීමෙහි+ති) සයනය කරයි, හොවියි."
"අධීන ","(3) අයත්; සම්බන්ධවූ."
අධීයති,"(අධි+ඉ+ය) ඉගෙනගනී; හදාරයි."
අධීයති,"(ක්‍රි) (අධී + - (ඉ) - (d) (භු) අජ්ඣයතෙ=හැදෑරීමෙහි+ය+ති) හදාරයි."
අධීර,"(ති) (න=අ+ධීර) බැගෑපත්වූ."
අධුනා,"(අ) මේ කාලයෙහි, දැන්."
අධුනා,"(නි) අළුතෙන්; දැන්."
"අධුනාගත ","(3) අළුතෙන් පැමිණි."
අධුර,"(ති) ධුර රහිත, ඉසිළිය යුතු බරරහිත."
අධො,"(අ) යට, පහත."
අධොඅක්ඛක,"(පු) යටි හක්ක."
අධොක්ඛජ,"(පු) යටි හක්කෙන් උපන් තැනැත්තහු, විෂ්ණු."
අධොගම,"(පු) ශරීරයෙහි පහතට බස්නා වාතය, පහතට යාම."
අධොගල,"(න) බෙල්ලෙන් පහල."
අධොඨිත,"(ති) යට සිටියක් කොට."
අධොත,"(ති) නොසේදු."
අධොදෙස,"(පු) පහත්දෙසය, මිටි දෙසය."
අධොභාග,"(පු) යට භාගය, පහත කොටස."
අධොභාව,"(පු) යටභාවය, පහත් විම."
අධොභුවන,"(න) යට ලෝකය, නාගභවනය පාතාලය."
අධොමුඛ,"(ති) මුහුණ පාතට හෙලූ, බිම බලාගත්."
අධොවිරෙචන,"(න) ශරීරයාගේ යටභාගය පිළිබ  විරෙචනය, විරෙක කිරීම."
අධෝ,"(නි) යට."
"අධෝකත ","(3) යටිකුරුකළ."
"අධෝගම ","(3) පහතට යන."
අධෝභාග,"(පු) යට කොටස."
"අධෝමුඛ ","(3) මූණ පහතට හැරවූ; යටිකුරු වූ."
"අධෝසිර ","(3) හිස යටිකුරු වූ."
අධ්‍යත්ථ,"(න) විශේෂණය හේතු කොටගෙන විශේෂ්‍යයාගේ අර්ථය අධික වීම."
අන,"(න) ගැල, ගොවුද."
අන,"(භු) ජීවත් වීමෙහි අනති, ජීවත් වෙයි."
අන,"(භු) සුසුම් හෙලිමෙහි, අනති, සුසුම් හෙලයි “අථො අපාණං පස්සාසො අස්සාසො ආනමුච්චතෙ”."
අනක්ඛාත,"(ති) නොකියන ලද, ‘අක්ඛාත’ බලනු."
අනගාර,"(ති) ගෘහ නැති, ගෙයක් නැති, ගෘහොපකරණ රහිත."
අනගාරික,"(පු) ගිහිකටයුතු රහිතයා, තාපසයා."
අනගාරිය,"(පු) අනගාරිකයා (ති) ගිහිගෙට නොඅයිති (න) ශාසනය, ශාසන ධර්මය “නත්ථි එත්ථ අගාරියන්ති අනගාරියං පබ්බජ්ජාය එති අධිවචනං.”"
අනග්ග,"(ති) කෙළවරක් නැති."
අනග්ගි,"(ති) ගිනිරහිත, ගිනි නැති."
අනග්ගිපක්තික,"(පු) ගින්නෙන් පිසූ ආහාර නොවළදන කොල ගෙඩී ආදියෙන් යැපෙන තාපස කොටසක්."
අනඞ්ග,"(පු) කාමදෙවයා."
අනඞ්ගන,"(ති) අඞ්ගන රහිත, පව් රහිත, කෙලෙස් රහිත."
"අනඞ්ගන ","(3) කෙලෙස් නැති."
අනච්ඡ,"(ති) නොපැහැදුනු, කිලුටු, නොපෑදි."
අනච්ඡරිය,"(ති) ආශ්චර්‍ය්‍ය නොවන, පුදුම නොවන."
අනජ්ජතන,"(පු) අද නොවන, අවිද්‍යමානාද්‍යතනයයි ප්‍රසිද්ධ අද්‍යතන කාලය."
අනජ්ඣාපන්න,"(ති) යටත් වීමට නොපැමිණි."
අනජ්ඣිට්ඨ,"(ති) ආරාධනා නොකළ, නිමන්ත්‍ර ණය නොකළ."
"අනජ්ඣිට්ඨ ","(3) අරාධනා නො ලැබූ."
අනඤ්ඤජ,"(පු) අනඞ්ගයා."
අනඤ්ඤනෙය්‍ය,"(ති) අනිකෙකු විසින් නොපැමිණ වියයුතු."
අනඤ්ඤපොස,"(ති) අනුන් පොෂණය නොකරන."
අනඤ්ඤාත,"(ති) නොදැනගන්නා ලද, අවබෝධ නොකළ."
අනඤ්ඤාතඤ්ඤස්සාමිතින්ද්‍රිය,"(න) සෝවාන් මාර්‍ගඥානය."
අනඤ්ඤාථා,"(අ) අන්පරිද්දකින් නොවන, වෙනස් නොවන."
අනණ,"(ති) නයනැති."
"අනණ ","(3) ණයනැති."
අනතිමාන,"(ති) අධිකමානය නැති, වැඩියක් මාන්නය නැති."
අනතිමානී,"(පු) තමන් උසස් කොට හෝ අනුන් පහත් කොට නොසිතන තැනැත්තා."
"අනතිරිත්ත ","(3) ඉතිරි නොවූ."
අනතිසාර,"(ති) නිදොස්, වරදක් නැති."
අනත්ත,"(පු) අනාත්මය, ආත්මයක් නැති."
"අනත්ත ","(3) අනාත්ම; ආත්මයක් නැති."
අනත්තමන,"(ති) (අන්=න+අත්තමන) නොසතුටුසිත් ඇති ‘අත්තමන’ බලනු."
"අනත්තමන ","(3) නො සතුටු සිතැති."
අනත්තමනතා,"(ඉ) නොසතුටුසිත් ඇතිබව."
අනත්ථ,"(පු) අනර්ථය, අවැඩ, විපත, අහිත දේ."
අනත්ථ,"(පු) අනර්ථය; විපත."
අනත්ථක,"(න) අර්ථයක් නොසලකා පදයාගේ සතරවන අංගය සම්පූර්‍ණ කිරීමට පමණක් යොදන පදය."
අනද්ධනික(ය),"(ති) (අන්=න+අද්ධ+ඉක) දීර්‍ඝ කාලයක් නොපවතින, වැඩිකාලයක් නොතිබෙන."
අනධිවර,"(පු) බුදුරජ, තමාට වඩා උත්තමයෙකු නැත්තා."
අනධිවර,"(පු) බුදුරද."
අනධීවාසන,"(න) නොඉවසීම, නොපිළිගැන්ම."
අනනුගිද්ධ,"(ති) ගිජු නොවූ, ලොල් නොවන, කෑදර නොවන."
"අනනුච්ඡවික ","(3) නුසුදුසු."
අනනුබොධ,"(පු) අනවබෝධය, නොදැන්ම."
අනනුයොග,"(පු) නොයෙදීම."
අනනුලොම,"(ති) අනුලොම් නොවන, එකඟ නොවන, සුදුසු නොවන, පිළිවෙළට නොපවතින."
අනනුවජ්ජ,"(ති) (අන්=+අනු+වජ්ජ) නොකියයුතු, උපවාද රහිත, නින්දා නොකටයුතු, නොගැරහියයුතු."
අනනුවිච්ච,"(අ) (අන්=න+අනුවිච්ච) නොදැන, නොසලකා."
අනනුස්සුත,"(ති) අනුශ්‍රව (ආරංචි) යෙන් වත් නොඅසන ලද."
අනන්ත,"(ති) අන්තරහිත (න) නිවන (පු) අහස අනන්තනාරජ."
